Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
AUSTRALIA,3.010725954,2.958528045,2.907983286,2.867865092,2.823594496,2.765994559,2.711115161,2.694232196,2.654777866,2.619970582,2.589771292,2.558009971,2.526977598,2.493133567,2.463585124,2.435598714,2.41034586,2.383530974,2.352420499,2.32417375,2.299701912,2.277312784,2.249847051,2.22135298,2.188719524,2.151985733,2.117061297,2.085104721,2.051208622,2.023352381,2.000572745,1.975710399,1.943037892,1.912448095,1.889277951,1.868971532,1.84736342,1.826666493,1.808442784,1.786313995,1.741665907,1.715241529,1.684000885,1.628028065,1.596266743,1.563203728,1.535868164,1.516603101,1.482368561,1.453601135,1.425354386,1.398279161,1.364565299
AUSTRIA,102.8992343,102.2945431,101.8292055,101.4865367,101.2428618,100.9277865,100.6123347,100.2867314,99.79174045,99.11420255,98.5011886,98.02252274,97.54145543,97.16878108,96.93540327,96.74698605,96.64088539,96.53143723,96.4011886,96.25370528,95.88396604,95.09653123,94.05568223,93.12128563,92.4143966,91.99899333,91.86884172,91.81072165,91.75239539,91.70932686,91.71510006,91.86343238,91.79757429,91.56377198,91.56367495,91.71989084,91.79417829,91.75894482,91.92120073,92.16540934,92.00867192,91.50031534,90.97006671,90.56502122,90.24930261,89.93818072,89.47238326,88.80613705,88.1854336,87.61432383,87.03227411,86.47500303,85.9466222
AZERBAIJAN,113.9248591,112.4607902,110.9763362,109.5423442,108.2912905,106.0597625,103.8533687,102.6725317,101.5225018,100.4753726,99.62372356,98.9124646,98.19379207,97.43477998,96.52076658,95.23179127,94.19048992,93.28622757,92.34891909,91.29144285,90.06573176,88.70783614,87.37397407,86.02809522,85.36786955,84.04699761,82.75265871,81.47337683,80.20124494,78.93647933,77.68574931,76.45419806,75.2483507,74.07128351,72.92417415,71.80077388,70.68741964,69.56571374,68.42106781,67.24779793,66.04493072,64.80858478,63.5359602,62.2247858,60.87794561,59.49477871,58.06623647,56.58080681,55.03393537,53.42241369,51.76003701,50.08060853,48.42916712
BURUNDI,395.7372274,383.5501947,371.5094237,359.5308801,347.6124221,335.8364486,324.311215,313.1845405,302.5853583,292.4755062,282.8792835,274.0547897,266.3308411,259.9021028,254.8782321,251.0775701,248.0363318,245.1122274,241.8194315,238.023715,233.7890966,229.076285,223.9008567,218.2972352,212.2016745,205.6399143,198.8593069,192.1978972,185.9094626,180.095405,174.725,169.7577492,165.1010514,160.6907321,156.4971184,152.5612928,148.9651869,145.8207944,143.1850078,141.1157321,139.5229751,138.1360981,136.5885125,134.6227804,132.1241822,129.178933,125.9783879,122.8146028,119.9000779,117.2880452,114.910553,112.7145639,110.6065031
BELGIUM,369.3136394,367.5114267,364.8528402,360.6430647,356.555251,353.6979194,350.9147952,348.347358,346.0573646,344.1590819,342.6728203,341.2412483,339.7149934,338.5485469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENIN,91.55262504,89.13357574,86.73106598,84.33662646,81.95089571,79.57868925,77.22144377,74.88179319,72.56440227,70.26246896,67.98227208,65.75686414,63.62993083,61.62970912,59.77732352,58.056873,56.41451756,54.77401561,53.08316779,51.31956368,49.50709471,47.69622206,45.96066868,44.35323696,42.88967719,41.55174707,40.31692089,39.14907769,38.02113338,36.92770486,35.87577155,34.86480135,33.89682512,32.97289819,32.09036006,31.24574317,30.43864846,29.66921781,28.93720291,28.24181447,27.58135864,26.95370699,26.3563409,25.78723838,25.2452288,24.7299663,24.24130897,23.77954949,23.34480312,22.93687478,22.55529443,22.19964526,21.86947499
BURKINA FASO,61.89634137,60.16133406,58.46240132,56.79928363,55.17166301,53.58057749,52.02878289,50.51994518,49.05675804,47.63983187,46.26858918,44.9429788,43.6625731,42.42669591,41.23516813,40.08711988,38.98019737,37.91141082,36.87820175,35.8793348,34.9140095,33.98068713,33.07781433,32.20406798,31.3590095,30.54205409,29.75173977,28.98644006,28.2452924,27.52647661,26.83080044,26.16321637,25.53054825,24.9372807,24.38471857,23.86995614,23.38792763,22.93142178,22.49469298,22.07618421,21.67575658,21.29082968,20.91878289,20.55773757,20.20530702,19.86125731,19.52858187,19.21185307,18.91399488,18.63630117,18.37652778,18.12984284,17.88953947
BANGLADESH,1203.003472,1188.410294,1174.329193,1160.985442,1148.521933,1136.744004,1125.12151,1112.919275,1099.601905,1085.004494,1069.263164,1052.518084,1035.027295,1017.002881,998.4391411,979.3233771,959.8626028,940.3157102,920.8695168,901.6631482,882.6729892,863.7241146,844.5462856,824.966175,804.9423446,784.614097,764.2082431,744.0386034,724.3429515,705.2647922,686.7916263,668.822171,651.180318,633.7746024,616.4382961,599.3057079,582.9306599,568.062257,555.1599677,544.5432972,535.8455635,528.0023815,519.5349773,509.4020281,497.1956518,483.2851348,468.3612814,453.4825689,439.4285319,426.3895829,414.1448337,402.5754244,391.4381424
BULGARIA,66.92257738,67.2981577,67.68909359,68.12453021,68.57445652,68.98592211,69.47185342,70.87379177,71.2435567,71.54432696,71.92752597,72.32047794,72.49644762,73.85132423,74.2169755,74.63424026,75.13394197,75.59275061,75.98361204,76.32279671,76.58241887,77.19573353,78.0291693,78.80583024,80.24018801,81.18454307,81.09336527,80.9741571,80.9956341,80.99682726,80.80753864,80.60613758,80.36804664,80.10065082,79.77890265,79.67126458,79.58223809,79.17019796,78.82800325,78.44838651,77.92612311,77.52146796,77.16166501,76.73844346,76.23765706,75.65400886,75.11729187,74.64572901,74.15861882,73.61782518,73.01947935,72.43013649,71.79895146
BAHRAIN,1752.856579,1733.982895,1701.005263,1646.727632,1567.814474,1468.471053,1376.470667,1285.068919,1188.559459,1123.979452,1072.302778,1031.747887,984.1535211,941.1816901,902.6943662,869.7704225,841.4084507,816.4746479,793.9859155,773.4788732,754.5225352,736.2690141,738.615942,718.7594203,697.3072464,674.2811594,650.7333333,628.2478261,607.8623188,590.1782609,574.5608696,559.3478261,542.2101449,521.5971014,496.8536232,468.8565217,439.4724638,411.3666667,386.5014493,365.4188406,347.6231884,332.7362319,320.0115942,308.8434783,299.2304348,291.2362319,284.3521739,277.9449275,271.5188406,264.8898551,258.0405797,250.8797101,243.3681159
